price,district,room_type,bathroom_type,accommodates,bathrooms,bedrooms,beds,reviews,review_scores,host_response_rate,host_acceptance_rate,host_total_listings
800,Central & Western,Entire home/apt,Private bathroom,4,1,1,2,2,100,0.98,0.73,101
810,Central & Western,Entire home/apt,Private bathroom,4,1,1,2,0,97,0.98,0.73,101
1683,Central & Western,Entire home/apt,Private bathroom,4,2,2,2,9,93,1,0.5,1
890,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,35,99,0.67,0.35,2
588,Central & Western,Private room,Private bathroom,2,1,1,2,0,100,0.95,0.77,230
245,Central & Western,Private room,Shared bathroom,1,1,1,1,0,76,0.95,0.77,230
269,Central & Western,Private room,Private bathroom,2,1,1,1,1,100,0.95,0.77,230
470,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,4,80,0.98,0.73,101
520,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,1,100,0.98,0.73,101
520,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,1,100,0.98,0.73,101
590,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,4,95,0.98,0.73,101
660,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,1,100,0.98,0.73,101
590,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,0,95,0.98,0.73,101
414,Central & Western,Private room,Private bathroom,2,1,1,1,17,98,1,1,1
1000,Central & Western,Entire home/apt,Private bathroom,2,1,1,0,1,20,1,0.43,1
227,Central & Western,Private room,Shared bathroom,2,1,1,1,0,40,0.95,0.77,230
380,Central & Western,Private room,Shared bathroom,2,1,1,1,0,86,1,0.88,1
950,Central & Western,Entire home/apt,Private bathroom,4,1,1,3,85,94,0.8,1,6
247,Central & Western,Private room,Private bathroom,1,1,1,1,0,60,0.96,0.77,266
2143,Central & Western,Private room,Private bathroom,2,1,1,1,0,98,0.98,0.93,2
253,Central & Western,Private room,Private bathroom,1,1,1,1,0,80,0.96,0.77,266
240,Central & Western,Private room,Private bathroom,1,1,1,1,0,80,0.96,0.77,266
230,Central & Western,Private room,Private bathroom,1,1,1,1,0,95,0.96,0.77,266
1195,Central & Western,Entire home/apt,Private bathroom,3,1,2,2,28,96,1,1,1
1329,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,5,95,0,0,2
214,Central & Western,Private room,Private bathroom,1,1,1,1,0,60,0.96,0.77,266
247,Central & Western,Private room,Private bathroom,1,1,1,1,0,40,0.96,0.77,266
800,Central & Western,Private room,Shared bathroom,1,1,1,1,1,100,1,0.8,1
500,Central & Western,Private room,Private bathroom,1,1,1,1,0,97,0.5,0,1
1240,Central & Western,Entire home/apt,Private bathroom,3,1,1,1,66,95,1,0.98,16
1926,Central & Western,Entire home/apt,Private bathroom,3,1,2,2,6,92,0.5,0,2
1050,Central & Western,Entire home/apt,Private bathroom,4,1,2,2,284,98,0.92,0.98,5
