price,district,room_type,bathroom_type,accommodates,bathrooms,bedrooms,beds,reviews,review_scores,host_response_rate,host_acceptance_rate,host_total_listings
$215.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,96%,77%,266
$290.00,Central & Western,Private room,1 shared bath,2,1 shared bath,,1,0,,100%,80%,369
$197.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,100%,80%,369
$170.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,100%,80%,369
$267.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,0,,100%,80%,369
$325.00,Central & Western,Entire home/apt,1 bath,1,1 bath,,1,9,87,100%,100%,2
$220.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,100%,80%,369
$200.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,0,,100%,80%,369
$270.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,0,,100%,80%,369
$217.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,96%,77%,266
"$1,800.00",Central & Western,Entire home/apt,2 baths,4,2 baths,3,2,0,,0%,,1
$880.00,Central & Western,Entire home/apt,1 bath,4,1 bath,1,2,6,90,,,1
$177.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,100%,80%,369
$284.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,0,,100%,80%,369
$270.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,0,,100%,80%,369
$290.00,Central & Western,Entire home/apt,1.5 baths,1,1.5 baths,1,0,41,90,100%,100%,1
$283.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,0,,100%,80%,369
$227.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,100%,80%,369
$620.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,1,100,98%,73%,101
"$1,200.00",Central & Western,Entire home/apt,2.5 baths,8,2.5 baths,4,5,6,92,0%,50%,1
$151.00,Central & Western,Private room,1.5 shared baths,1,1.5 shared baths,1,1,10,94,100%,100%,10
$300.00,Central & Western,Entire home/apt,1 bath,2,1 bath,1,1,1,100,,,1
$984.00,Central & Western,Entire home/apt,1 bath,7,1 bath,5,5,0,,100%,80%,369
$500.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,2,60,,,16
$538.00,Central & Western,Entire home/apt,1 bath,5,1 bath,1,3,80,91,100%,100%,1
"$5,695.00",Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,,,1
"$1,720.00",Central & Western,Entire home/apt,1 bath,2,1 bath,1,1,6,97,,100%,1
$500.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,,,1
$224.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,100%,80%,369
$280.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,0,,100%,80%,369
$495.00,Central & Western,Entire home/apt,1 bath,2,1 bath,1,2,14,89,100%,,2
$200.00,Central & Western,Private room,2 shared baths,2,2 shared baths,1,1,0,,100%,80%,369
$280.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,100%,80%,369
$570.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,0,,98%,73%,101
$217.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,100%,80%,369
$400.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,1,80,,,16
$477.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,0,,98%,73%,101
$238.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,0,,100%,80%,369
$423.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,7,74,,,1
$230.00,Central & Western,Entire home/apt,1 bath,1,1 bath,,1,0,,100%,80%,369
$139.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,95%,77%,230
"$1,250.00",Central & Western,Entire home/apt,1 bath,2,1 bath,1,2,20,96,,100%,2
$380.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,2,60,,,16
$570.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,2,100,98%,73%,101
$230.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,0,1,80,100%,100%,19
"$2,500.00",Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,0,,100%,33%,239
$257.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,100%,80%,369
$759.00,Central & Western,Entire home/apt,1 bath,3,1 bath,,1,17,92,100%,98%,16
$759.00,Central & Western,Entire home/apt,1 bath,3,1 bath,1,1,39,94,100%,98%,16
$759.00,Central & Western,Entire home/apt,1 bath,3,1 bath,1,1,23,91,100%,98%,16
$982.00,Central & Western,Entire home/apt,1.5 baths,3,1.5 baths,1,1,18,98,100%,0%,2
$759.00,Central & Western,Entire home/apt,1 bath,3,1 bath,,1,19,93,100%,98%,16
$750.00,Central & Western,Entire home/apt,1 bath,2,1 bath,2,1,9,90,33%,0%,1
"$2,000.00",Central & Western,Entire home/apt,1 bath,4,1 bath,2,2,6,87,,,1
$400.00,Central & Western,Entire home/apt,1 bath,2,1 bath,1,1,22,99,94%,82%,9
$759.00,Central & Western,Entire home/apt,1 bath,3,1 bath,,1,29,91,100%,98%,16
$759.00,Central & Western,Entire home/apt,1 bath,3,1 bath,,1,59,93,100%,98%,16
$759.00,Central & Western,Entire home/apt,1 bath,3,1 bath,,1,58,93,100%,98%,16
$581.00,Central & Western,Entire home/apt,1 bath,2,1 bath,1,1,46,93,100%,80%,2
"$1,000.00",Central & Western,Entire home/apt,1 bath,1,1 bath,,1,0,,,,1
$238.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,96%,77%,266
$220.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,0,0,,96%,77%,266
$209.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,0,,95%,77%,230
$850.00,Central & Western,Entire home/apt,1 bath,2,1 bath,2,1,35,95,83%,50%,1
$600.00,Central & Western,Entire home/apt,1 bath,4,1 bath,1,1,30,92,94%,82%,9
"$1,000.00",Central & Western,Entire home/apt,1 bath,4,1 bath,2,2,3,87,100%,80%,1
$800.00,Central & Western,Entire home/apt,1 bath,2,1 bath,1,1,0,,,0%,1
$853.00,Central & Western,Shared room,1 shared bath,2,1 shared bath,1,1,0,,,,1
$800.00,Central & Western,Entire home/apt,1 bath,4,1 bath,1,2,2,100,98%,73%,101
$389.00,Central & Western,Hotel room,1 bath,1,1 bath,1,1,17,99,100%,100%,6
"$2,898.00",Central & Western,Entire home/apt,1 bath,4,1 bath,2,2,26,85,100%,,1
$570.00,Central & Western,Entire home/apt,1 bath,1,1 bath,,1,1,100,98%,73%,101
$570.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,0,,98%,73%,101
$759.00,Central & Western,Entire home/apt,1 bath,3,1 bath,,1,35,93,100%,98%,16
$759.00,Central & Western,Entire home/apt,1 bath,3,1 bath,,1,19,94,100%,98%,16
$231.00,Central & Western,Private room,1 bath,1,1 bath,1,1,0,,96%,77%,266
$238.00,Central & Western,Private room,1 bath,2,1 bath,1,1,0,,95%,77%,230
$500.00,Central & Western,Entire home/apt,1 bath,1,1 bath,1,1,15,87,100%,0%,2
"$1,200.00",Central & Western,Entire home/apt,1 bath,5,1 bath,2,2,8,97,0%,33%,1
$800.00,Central & Western,Entire home/apt,1 bath,4,1 bath,1,2,2,100,98%,73%,101
$810.00,Central & Western,Entire home/apt,1 bath,4,1 bath,1,2,0,,98%,73%,101
"$1,683.00",Central & Western,Entire home/apt,2 baths,4,2 baths,2,2,9,93,100%,50%,1
$890.00,Central & Western,Entire home/apt,1 bath,2,1 bath,1,1,35,99,67%,35%,2
$588.00,Central & Western,Private room,1 bath,2,1 bath,1,2,0,,95%,77%,230
$245.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,95%,77%,230
$269.00,Central & Western,Private room,1 bath,2,1 bath,1,1,1,100,95%,77%,230
$470.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,4,80,98%,73%,101
$520.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,1,100,98%,73%,101
$520.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,1,100,98%,73%,101
$590.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,4,95,98%,73%,101
$660.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,1,100,98%,73%,101
$590.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,0,,98%,73%,101
$414.00,Central & Western,Private room,1 bath,2,1 bath,1,1,17,98,,,1
"$1,000.00",Central & Western,Entire home/apt,1 bath,2,1 bath,1,0,1,20,100%,,1
$227.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,0,,95%,77%,230
$380.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,0,,,,1
$950.00,Central & Western,Entire home/apt,1 bath,4,1 bath,1,3,85,94,80%,100%,6
$247.00,Central & Western,Private room,1 bath,1,1 bath,1,1,0,,96%,77%,266
"$2,143.00",Central & Western,Private room,1 bath,2,1 bath,1,1,0,,,,2
$253.00,Central & Western,Private room,1 bath,1,1 bath,1,1,0,,96%,77%,266
$240.00,Central & Western,Private room,1 bath,1,1 bath,1,1,0,,96%,77%,266
$230.00,Central & Western,Private room,1 bath,1,1 bath,1,1,0,,96%,77%,266
"$1,195.00",Central & Western,Entire home/apt,1 bath,3,1 bath,2,2,28,96,,100%,1
"$1,329.00",Central & Western,Entire home/apt,1 bath,2,1 bath,1,1,5,95,,0%,2
$214.00,Central & Western,Private room,1 bath,1,1 bath,1,1,0,,96%,77%,266
$247.00,Central & Western,Private room,1 bath,1,1 bath,1,1,0,,96%,77%,266
$800.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,1,100,100%,,1
$500.00,Central & Western,Private room,1 private bath,1,1 private bath,1,1,0,,,,1
"$1,240.00",Central & Western,Entire home/apt,1 bath,3,1 bath,,1,66,95,100%,98%,16
"$1,926.00",Central & Western,Entire home/apt,1 bath,3,1 bath,2,2,6,92,50%,0%,2
"$1,050.00",Central & Western,Entire home/apt,1 bath,4,1 bath,,2,284,98,92%,98%,5
$150.00,Central & Western,Private room,1 bath,1,1 bath,1,1,0,,96%,77%,266
$997.00,Central & Western,Entire home/apt,1 bath,2,1 bath,1,1,11,96,,,1
$759.00,Central & Western,Entire home/apt,1 bath,3,1 bath,,1,130,95,100%,98%,16
$214.00,Central & Western,Entire home/apt,1 bath,1,1 bath,1,1,0,,96%,77%,266
$230.00,Central & Western,Private room,1 bath,1,1 bath,1,1,0,,96%,77%,266
$262.00,Central & Western,Private room,1.5 shared baths,1,1.5 shared baths,1,1,5,100,100%,100%,3
$292.00,Central & Western,Private room,1.5 shared baths,1,1.5 shared baths,1,1,47,99,100%,100%,3
$380.00,Central & Western,Entire home/apt,1 bath,1,1 bath,,1,67,94,100%,97%,4
$797.00,Central & Western,Private room,1 bath,2,1 bath,1,1,9,95,50%,0%,2
"$1,400.00",Central & Western,Entire home/apt,1 bath,4,1 bath,2,2,10,96,,,1
"$1,756.00",Central & Western,Private room,1.5 baths,5,1.5 baths,2,2,2,80,,,3
$797.00,Central & Western,Entire home/apt,1.5 baths,4,1.5 baths,2,2,7,91,100%,100%,3
$210.00,Central & Western,Private room,1 private bath,1,1 private bath,1,1,0,,95%,77%,230
$260.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,96%,77%,266
"$2,839.00",Central & Western,Entire home/apt,1 bath,6,1 bath,2,3,85,91,0%,100%,5
$500.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,30,95,90%,76%,2
$660.00,Central & Western,Entire home/apt,1 bath,3,1 bath,,1,1,100,98%,73%,101
$250.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,112,94,100%,100%,1
$520.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,184,96,92%,98%,5
$600.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,137,94,91%,99%,5
$570.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,1,80,98%,73%,101
$270.00,Central & Western,Private room,1 bath,1,1 bath,1,1,0,,,,1
